Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000001000,0.0000001000,0.0000001000
1,0.0000001000,0.0000001000,0.0000001000
2,0.0000002000,0.0000002000,0.0000002000
3,0.0000001000,0.0000002000,0.0000002000
4,0.0000001000,0.0000002000,0.0000004000
5,0.0000002000,0.0000002000,0.0000002000
6,0.0000002000,0.0000003000,0.0000003000
7,0.0000002000,0.0000003000,0.0000003000
8,0.0000003000,0.0000005000,0.0000005000
9,0.0000003000,0.0000006000,0.0000005000
10,0.0000004000,0.0000006000,0.0000006000
11,0.0000003000,0.0000007000,0.0000008000
12,0.0000004000,0.0000008000,0.0000008000
13,0.0000004000,0.0000008000,0.0000008000
14,0.0000005000,0.0000010000,0.0000008000
15,0.0000005000,0.0000010000,0.0000010000
16,0.0000005000,0.0000012000,0.0000010000
17,0.0000005000,0.0000024000,0.0000013000
18,0.0000005000,0.0000013000,0.0000011000
19,0.0000005000,0.0000014000,0.0000013000
20,0.0000007000,0.0000017000,0.0000013000
21,0.0000006000,0.0000017000,0.0000012000
22,0.0000007000,0.0000019000,0.0000014000
23,0.0000007000,0.0000021000,0.0000015000
24,0.0000007000,0.0000022000,0.0000014000
25,0.0000008000,0.0000023000,0.0000017000
26,0.0000009000,0.0000037000,0.0000018000
27,0.0000008000,0.0000026000,0.0000016000
28,0.0000009000,0.0000029000,0.0000021000
29,0.0000008000,0.0000030000,0.0000021000
30,0.0000010000,0.0000033000,0.0000021000
31,0.0000009000,0.0000035000,0.0000020000
32,0.0000011000,0.0000038000,0.0000022000
33,0.0000011000,0.0000044000,0.0000026000
34,0.0000012000,0.0000047000,0.0000025000
35,0.0000013000,0.0000049000,0.0000031000
36,0.0000013000,0.0000052000,0.0000028000
37,0.0000012000,0.0000048000,0.0000027000
38,0.0000012000,0.0000050000,0.0000028000
39,0.0000011000,0.0000051000,0.0000029000
40,0.0000012000,0.0000053000,0.0000027000
41,0.0000014000,0.0000059000,0.0000029000
42,0.0000014000,0.0000058000,0.0000032000
43,0.0000014000,0.0000061000,0.0000032000
44,0.0000017000,0.0000064000,0.0000032000
45,0.0000015000,0.0000068000,0.0000031000
46,0.0000017000,0.0000070000,0.0000034000
47,0.0000015000,0.0000071000,0.0000129000
48,0.0000017000,0.0000110000,0.0000037000
49,0.0000019000,0.0000113000,0.0000036000
50,0.0000019000,0.0000114000,0.0000032000
51,0.0000018000,0.0000088000,0.0000034000
52,0.0000018000,0.0000089000,0.0000039000
53,0.0000018000,0.0000095000,0.0000037000
54,0.0000019000,0.0000100000,0.0000042000
55,0.0000019000,0.0000099000,0.0000045000
56,0.0000018000,0.0000101000,0.0000043000
57,0.0000018000,0.0000104000,0.0000041000
58,0.0000019000,0.0000110000,0.0000045000
59,0.0000020000,0.0000115000,0.0000044000
60,0.0000020000,0.0000117000,0.0000044000
61,0.0000020000,0.0000118000,0.0000044000
62,0.0000021000,0.0000124000,0.0000047000
63,0.0000020000,0.0000124000,0.0000049000
64,0.0000022000,0.0000129000,0.0000059000
65,0.0000033000,0.0000182000,0.0000155000
66,0.0000032000,0.0000222000,0.0000061000
67,0.0000032000,0.0000232000,0.0000261000
68,0.0000029000,0.0000274000,0.0000072000
69,0.0000032000,0.0000297000,0.0000078000
70,0.0000042000,0.0000191000,0.0000069000
71,0.0000032000,0.0000338000,0.0000087000
72,0.0000039000,0.0000297000,0.0000073000
73,0.0000042000,0.0000296000,0.0000074000
74,0.0000038000,0.0000303000,0.0000077000
75,0.0000036000,0.0000296000,0.0000075000
76,0.0000034000,0.0000271000,0.0000064000
77,0.0000031000,0.0000375000,0.0000071000
78,0.0000038000,0.0000528000,0.0000076000
79,0.0000034000,0.0000294000,0.0000068000
80,0.0000033000,0.0000284000,0.0000059000
81,0.0000030000,0.0000192000,0.0000064000
82,0.0000028000,0.0000200000,0.0000065000
83,0.0000029000,0.0000218000,0.0000073000
84,0.0000032000,0.0000221000,0.0000076000
85,0.0000030000,0.0000209000,0.0000063000
86,0.0000030000,0.0000220000,0.0000070000
87,0.0000032000,0.0000225000,0.0000065000
88,0.0000031000,0.0000228000,0.0000070000
89,0.0000032000,0.0000241000,0.0000069000
90,0.0000031000,0.0000234000,0.0000264000
91,0.0000044000,0.0000239000,0.0000071000
92,0.0000033000,0.0000245000,0.0000078000
93,0.0000032000,0.0000245000,0.0000072000
94,0.0000032000,0.0000256000,0.0000081000
95,0.0000032000,0.0000255000,0.0000072000
96,0.0000034000,0.0000259000,0.0000076000
97,0.0000035000,0.0000265000,0.0000082000
98,0.0000034000,0.0000272000,0.0000075000
99,0.0000036000,0.0000296000,0.0000081000
100,0.0000035000,0.0000282000,0.0000079000
